# en-US British -> American spelling corpus. GENERATED -- do not edit by hand.
# Regenerate: ./.venv/bin/python bin/gen_british_spellings.py
# Source: VarCon (SCOWL) -- https://github.com/en-wl/wordlist (public domain).
#   Vendored copy + license: config/en-US/varcon.txt
# Filter: British-only forms (no American tag in the headword), SCOWL level <= 60.
# House-style adds/exclusions: config/en-US/british-american.overrides.txt
# Format: <british><TAB><american>, one pair per line, sorted.

flannelling	flanneling
flautist	flutist
flautists	flutists
flavour	flavor
flavoured	flavored
flavourful	flavorful
flavourfuler	flavorfuler
flavourfulest	flavorfulest
flavouring	flavoring
flavourings	flavorings
flavourless	flavorless
flavourlesser	flavorlesser
flavourlessest	flavorlessest
flavours	flavors
flavoursome	flavorsome
flavoursomer	flavorsomer
flavoursomest	flavorsomest
foetal	fetal
foetid	fetid
foetider	fetider
foetidest	fetidest
foetus	fetus
foetuses	fetuses
fogey	fogy
fogeys	fogies
formalisation	formalization
formalisations	formalizations
formalise	formalize
formalised	formalized
formalises	formalizes
formalising	formalizing
fossilisation	fossilization
fossilisations	fossilizations
fossilise	fossilize
fossilised	fossilized
fossilises	fossilizes
fossilising	fossilizing
fraternisation	fraternization
fraternisations	fraternizations
fraternise	fraternize
fraternised	fraternized
fraterniser	fraternizer
fraternisers	fraternizers
fraternises	fraternizes
fraternising	fraternizing
fuelled	fueled
fuelling	fueling
fulfil	fulfill
fulfilment	fulfillment
fulfilments	fulfillments
fulfils	fulfills
funnelled	funneled
funnelling	funneling
furore	furor
furores	furors
galvanisation	galvanization
galvanisations	galvanizations
galvanise	galvanize
galvanised	galvanized
galvanises	galvanizes
galvanising	galvanizing
gambolled	gamboled
gambolling	gamboling
gaolbird	jailbird
gaolbirds	jailbirds
gaolbreak	jailbreak
gaolbreaks	jailbreaks
gaoled	jailed
gaoler	jailer
gaolers	jailers
gaoling	jailing
gaols	jails
generalisation	generalization
generalisations	generalizations
generalise	generalize
generalised	generalized
generalises	generalizes
generalising	generalizing
ghettoise	ghettoize
ghettoised	ghettoized
ghettoises	ghettoizes
ghettoising	ghettoizing
gigagramme	gigagram
gigagrammes	gigagrams
gigametre	gigameter
gigametres	gigameters
glamorisation	glamorization
glamorisations	glamorizations
glamorise	glamorize
glamorised	glamorized
glamorises	glamorizes
glamorising	glamorizing
glamourous	glamorous
globalisation	globalization
globalisations	globalizations
globalise	globalize
globalised	globalized
globalises	globalizes
globalising	globalizing
goitre	goiter
goitres	goiters
gonorrhoea	gonorrhea
gonorrhoeal	gonorrheal
gonorrhoealer	gonorrhealer
gonorrhoealest	gonorrhealest
gonorrhoeas	gonorrheas
gormandise	gormandize
gormandised	gormandized
gormandiser	gormandizer
gormandisers	gormandizers
gormandises	gormandizes
gormandising	gormandizing
gormandisings	gormandizings
gramme	gram
grammes	grams
gravelled	graveled
gravelling	graveling
grey	gray
greyish	grayish
greyness	grayness
grovelled	groveled
groveller	groveler
grovellers	grovelers
grovelling	groveling
groyne	groin
groyned	groined
groynes	groins
groyning	groining
gruelled	grueled
gruelling	grueling
gruellingly	gruelingly
gruellings	gruelings
gynaecologic	gynecologic
gynaecological	gynecological
gynaecologicaler	gynecologicaler
gynaecologicalest	gynecologicalest
gynaecologicals	gynecologicals
gynaecologicer	gynecologicer
gynaecologicest	gynecologicest
gynaecologics	gynecologics
gynaecologies	gynecologies
gynaecologist	gynecologist
gynaecologists	gynecologists
gynaecology	gynecology
haematite	hematite
haematites	hematites
haematologic	hematologic
haematological	hematological
haematologies	hematologies
haematologist	hematologist
haematologists	hematologists
haematology	hematology
haemoglobin	hemoglobin
haemophilia	hemophilia
haemophiliac	hemophiliac
haemophiliacs	hemophiliacs
haemorrhage	hemorrhage
haemorrhaged	hemorrhaged
haemorrhages	hemorrhages
haemorrhaging	hemorrhaging
haemorrhoid	hemorrhoid
haemorrhoids	hemorrhoids
harbour	harbor
harboured	harbored
harbouring	harboring
harbours	harbors
harmonisation	harmonization
harmonisations	harmonizations
harmonise	harmonize
harmonised	harmonized
harmoniser	harmonizer
harmonisers	harmonizers
harmonises	harmonizes
harmonising	harmonizing
hectogramme	hectogram
hectogrammes	hectograms
hectometre	hectometer
hectometres	hectometers
hellenisation	hellenization
hellenisations	hellenizations
hellenise	hellenize
hellenised	hellenized
hellenises	hellenizes
hellenising	hellenizing
homoeopath	homeopath
homoeopathic	homeopathic
homoeopathicer	homeopathicer
homoeopathicest	homeopathicest
homoeopathies	homeopathies
homoeopaths	homeopaths
homoeopathy	homeopathy
homoeostases	homeostases
homoeostasis	homeostasis
homoeostatic	homeostatic
homogenisation	homogenization
homogenisations	homogenizations
homogenise	homogenize
homogenised	homogenized
homogenises	homogenizes
homogenising	homogenizing
honour	honor
